,Release_Date,ID,Title,Budget,Revenue,Profit,Runtime,Rating,Genres,Sub-genres,MPAA,numTop1k
135,2015-05-29,254128,San Andreas,110000000,470490832,360490832,114,6.1,Action,Drama,PG-13,4
136,2015-07-01,87101,Terminator Genisys,155000000,440603537,285603537,126,5.9,Science Fiction,Action,PG-13,4
137,2015-05-15,76341,Mad Max: Fury Road,150000000,378858340,228858340,121,7.4,Action,Adventure,R,5
138,2015-03-27,228161,Home,135000000,368871007,233871007,94,6.8,Fantasy,Comedy,PG,5
139,2015-11-25,105864,The Good Dinosaur,175000000,331926147,156926147,93,6.7,Adventure,Animation,PG,3
140,2016-05-06,271110,Captain America: Civil War,240000000,1153304495,913304495,147,7.4,Adventure,Action,PG-13,9
141,2016-12-16,330459,Rogue One: A Star Wars Story,200000000,1056057273,856057273,133,7.5,Action,Adventure,PG-13,3
142,2016-06-17,127380,Finding Dory,200000000,1028570889,828570889,97,7.0,Adventure,Animation,PG,4
143,2016-03-04,269149,Zootopia,150000000,1023784195,873784195,109,7.7,Animation,Adventure,PG,6
144,2016-04-15,278927,The Jungle Book,175000000,966550600,791550600,106,6.8,Adventure,Drama,PG,7
145,2016-07-08,328111,The Secret Life of Pets,75000000,875457937,800457937,87,6.1,Adventure,Comedy,PG,3
146,2016-03-25,209112,Batman v Superman: Dawn of Justice,250000000,873260194,623260194,151,5.8,Action,Adventure,PG-13,9
147,2016-11-18,259316,Fantastic Beasts and Where to Find Them,180000000,809342332,629342332,133,7.4,Adventure,Family,PG-13,5
148,2016-02-12,293660,Deadpool,58000000,783100000,725100000,108,7.6,Action,Adventure,R,1
149,2016-08-05,297761,Suicide Squad,176000000,745600054,569600054,123,5.9,Action,Adventure,PG-13,4
150,2016-11-23,277834,Moana,150000000,695331111,545331111,107,7.5,Adventure,Comedy,PG,2
151,2016-12-21,335797,Sing,75000000,632443719,557443719,108,7.0,Animation,Comedy,PG,6
152,2016-02-19,381890,The Mermaid,60720000,553810228,493090228,93,6.4,Comedy,Fantasy,R,0
